City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Pak Phanang,TH,78.73,overcast clouds,8.35,100.2,Green Park Inn Hotel
349,Papetoai,PF,75.2,light rain,-17.5,-149.87,InterContinental Resort And Spa Moorea
352,Merauke,ID,78.53,overcast clouds,-8.47,140.33,
360,Amahai,ID,82.0,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
362,Abu Dhabi,AE,80.6,clear sky,24.47,54.37,Beach Rotana
366,Mandiana,GN,76.89,broken clouds,10.63,-8.68,La maison De Metre Malick
369,Takoradi,GH,76.33,broken clouds,4.88,-1.76,Raybow International Hotel
371,Chabahar,IR,77.77,clear sky,25.29,60.64,هتل گدروشیا
372,Koundara,GN,80.62,overcast clouds,12.48,-13.3,
373,Diamantino,BR,83.39,light rain,-14.41,-56.45,Hotel Delta
374,Nova Olimpia,BR,86.0,broken clouds,-14.8,-57.29,Motel glamour
376,Mookane,BW,79.38,clear sky,-23.69,26.66,
377,Pacifica,US,89.6,clear sky,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
384,Vanimo,PG,78.15,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
389,Trinidad,BO,82.4,few clouds,-14.83,-64.9,Hotel Piesta
393,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
395,Sao Jose Da Coroa Grande,BR,76.03,broken clouds,-8.9,-35.15,Crôa Mares Hotel
396,Edd,ER,83.71,clear sky,13.93,41.69,
400,Bitung,ID,75.2,moderate rain,1.45,125.18,Peoplesight Learning Center ( PLC )
404,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
406,Amapa,BR,86.02,overcast clouds,1.0,-52.0,
407,Bilma,NE,85.32,clear sky,18.69,12.92,Expeditions Ténére voyages
410,Mitu,CO,77.29,moderate rain,1.2,-70.17,
413,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
415,Apollonia,GR,75.2,overcast clouds,36.97,24.72,Hotel Anthousa
418,Amalapuram,IN,76.39,light rain,16.58,82.02,swayamprabha service apartments
419,Porto Velho,BR,84.2,scattered clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
423,Tomatlan,MX,88.0,broken clouds,19.93,-105.25,Norma franco
428,Yucca Valley,US,84.99,clear sky,34.11,-116.43,Americas Best Value Inn & Suites Joshua Tree National Park
431,Tautira,PF,75.2,light rain,-17.73,-149.15,Pension Oaoa
433,Galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
441,Seminole,US,88.0,clear sky,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
450,Methoni,GR,75.99,scattered clouds,36.82,21.7,Methoni Beach Hotel
451,Veraval,IN,82.33,overcast clouds,20.9,70.37,Lords Inn Somnath
452,Tabou,CI,77.0,overcast clouds,4.42,-7.35,hotêl doufoulougou
453,Makaha,US,84.2,broken clouds,21.47,-158.22,Hawaiian Princess Resort
454,Dzaoudzi,YT,78.8,clear sky,-12.79,45.27,Le Rocher
455,Diego De Almagro,CL,77.7,clear sky,-26.37,-70.05,hotel luna del desierto
462,Lafiagi,NG,78.96,few clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
468,Hidalgotitlan,MX,86.0,broken clouds,17.78,-94.63,
478,Muana,BR,82.47,light rain,-1.53,-49.22,Pousada Bella do Marajó
481,Praia,CV,78.8,overcast clouds,14.92,-23.51,LT Aparthotel
486,Labuhan,ID,77.86,overcast clouds,-6.88,112.21,bador sepret
487,Nueva Loja,EC,75.2,moderate rain,0.08,-76.88,Limoncocha Great Hotel
488,Pochutla,MX,87.8,scattered clouds,15.74,-96.47,Hotel Posada San Jose
489,Davila,PH,75.2,few clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
491,Samana,DO,86.0,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
499,Ahuimanu,US,84.2,few clouds,21.44,-157.84,Paradise Bay Resort
504,Cairns,AU,75.99,clear sky,-16.92,145.77,Mantra Trilogy Cairns
505,Teknaf,BD,80.47,overcast clouds,20.86,92.31,Magnum Engineering & Construction
507,Matara,LK,77.16,scattered clouds,5.95,80.54,Amaloh Boutique Resort
508,Bayonet Point,US,84.0,broken clouds,28.33,-82.68,Holiday Inn Express & Suites Port Richey
