City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Asau,RO,46.43,26.4,53.01,98,100,1.45,light rain
89,Sinnamary,GF,5.38,-52.95,80.62,74,0,13.13,clear sky
90,New London,US,41.48,-72.07,55.99,93,90,13.87,overcast clouds
91,Tiksi,RU,71.69,128.87,23.81,98,100,8.41,light snow
92,Porteirinha,BR,-15.74,-43.03,84.65,46,88,9.69,overcast clouds
93,Qingdao,CN,36.1,120.37,51.01,100,0,2.24,fog
94,Smithers,CA,54.78,-127.17,41.0,86,75,6.93,broken clouds
95,Makat,KZ,47.65,53.35,56.39,36,25,8.34,scattered clouds
96,Cleburne,US,32.35,-97.39,73.0,19,1,5.82,clear sky
97,Saint-Philippe,RE,-21.36,55.77,71.6,68,23,4.7,few clouds
98,Namibe,AO,-15.2,12.15,70.77,75,93,6.71,moderate rain
99,Ust-Kuyga,RU,70.02,135.6,17.29,96,100,6.24,light snow
100,Arraial Do Cabo,BR,-22.97,-42.03,71.6,73,90,4.7,overcast clouds
101,Severo-Kurilsk,RU,50.68,156.12,42.35,70,82,20.49,broken clouds
102,Kaitangata,NZ,-46.28,169.85,50.0,65,82,4.0,broken clouds
103,Hambantota,LK,6.12,81.12,77.0,88,38,8.05,scattered clouds
104,Saint George,US,37.1,-113.58,82.99,9,1,1.07,clear sky
105,Qaanaaq,GL,77.48,-69.36,30.27,87,100,7.72,overcast clouds
106,Ballina,AU,-28.87,153.57,69.01,93,57,4.7,broken clouds
107,Zhanaozen,KZ,43.3,52.8,54.21,36,0,10.69,clear sky
108,Biak,ID,-0.91,122.88,77.4,81,100,2.21,moderate rain
109,Marawi,PH,8.0,124.29,73.99,92,91,5.01,overcast clouds
110,Cape Town,ZA,-33.93,18.42,59.0,82,6,3.36,clear sky
111,Nikolskoye,RU,59.7,30.79,39.99,69,75,4.47,broken clouds
112,Tasiilaq,GL,65.61,-37.64,39.2,93,22,18.34,light intensity shower rain
113,Nouadhibou,MR,20.93,-17.03,80.6,51,6,11.41,clear sky
